RegionID,RegionName,RegionType,StateName,2020-10,2020-11,2020-12,2021-01
51447,Clearwater,City,FL,248614.0,251065.0,253560.0,255987.0
24812,Fullerton,City,CA,711958.0,720018.0,729683.0,738811.0
25818,McAllen,City,TX,152728.0,154295.0,155702.0,157232.0
33252,Orange,City,CA,764467.0,773429.0,783706.0,793098.0
24174,Compton,City,CA,472700.0,477774.0,482705.0,487123.0
5052,Hampton,City,VA,187769.0,189076.0,191683.0,194882.0
3619,Bellevue,City,WA,1062074.0,1071241.0,1075770.0,1079601.0
45888,Inglewood,City,CA,648933.0,656161.0,662203.0,669210.0
5399,Kent,City,WA,483637.0,488683.0,492578.0,495741.0
48443,West Valley City,City,UT,338688.0,343704.0,349228.0,353780.0
33230,Olathe,City,KS,294308.0,296998.0,299395.0,302298.0
21159,Warren,City,MI,155828.0,157911.0,159664.0,161141.0
39815,Miramar,City,FL,345248.0,348177.0,351602.0,354142.0
20793,Thornton,City,CO,422028.0,426529.0,431005.0,435994.0
23394,Abilene,City,TX,142835.0,144718.0,146398.0,148033.0
37427,Billings,City,MT,279281.0,281811.0,284212.0,285148.0
51518,Concord,City,CA,504615.0,507864.0,510024.0,512626.0
44506,Cedar Rapids,City,IA,151225.0,151915.0,152830.0,154085.0
17070,Bloomington,City,IN,235344.0,237730.0,240243.0,242828.0
30543,Boulder,City,CO,810903.0,818348.0,825286.0,831668.0
47847,Sterling Heights,City,MI,234814.0,237584.0,239869.0,241790.0
54263,Saginaw,City,MI,75004.0,76148.0,77644.0,79198.0
17321,Carrollton,City,TX,301190.0,303716.0,306707.0,309213.0
17571,Coral Springs,City,FL,369506.0,373337.0,377469.0,380764.0
34278,Thousand Oaks,City,CA,784572.0,792449.0,798140.0,806269.0
27683,Victorville,City,CA,293585.0,297967.0,303121.0,308692.0
13594,Roseville,City,CA,513644.0,519144.0,522994.0,525816.0
7330,Surprise,City,AZ,302305.0,307434.0,313086.0,319652.0
6155,New Haven,City,CT,202752.0,206015.0,209053.0,211790.0
11786,Hamilton,City,OH,192306.0,195046.0,197634.0,199823.0
48293,Waco,City,TX,149572.0,151608.0,153477.0,154794.0
27110,Simi Valley,City,CA,635313.0,643360.0,650017.0,658802.0
27239,Stamford,City,CT,501046.0,506627.0,512660.0,519229.0
13234,Pearland,City,TX,278432.0,279635.0,281019.0,282891.0
31388,Elizabeth,City,NJ,334696.0,339796.0,345687.0,349997.0
4351,Denton,City,TX,259087.0,261468.0,264296.0,266964.0
40760,Santa Fe,City,NM,417891.0,421381.0,425933.0,430865.0
24822,Gainesville,City,GA,238316.0,240825.0,243555.0,246291.0
